enterprise,num_id,date,ret,price,open,close,high,low,mktret,event_date1,event_date2,event_date3,id,t1,t2,date_new,event_window,event_estimate,N,predict_return,AR,CAR,car_date
*ST未来,600532.SH,2021/9/24,-0.011745862,18.73,3613.07,3637.87,3651.43,3607.79,-0.008,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-104,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/27,-0.02630137,18.25,3582.83,3625.96,3640.81,3559.92,-0.0084,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-103,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/28,-0.006063947,18.14,3602.22,3577.89,3610.92,3568.82,0.0054,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-102,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/29,-0.019101124,17.8,3536.29,3573.52,3573.52,3518.05,-0.0183,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-101,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/9/30,0.046598822,18.67,3568.17,3541.93,3572.43,3541.93,0.009,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-100,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/8,-0.011375948,18.46,3592.17,3609.09,3612.55,3571.73,0.0067,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-99,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/11,-0.004899292,18.37,3591.71,3600.36,3614.7,3586.75,-0.0001,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-98,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/12,-0.005473454,18.27,3546.94,3581.3,3583.64,3515.14,-0.0125,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-97,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/13,0.003273322,18.33,3561.76,3543.49,3569.13,3515.65,0.0042,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-96,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/14,-0.003284072,18.27,3558.28,3555.11,3569.69,3547.18,-0.001,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-95,0,1,80,,,-0.042036582,
*ST未来,600532.SH,2021/10/15,-0.009950249,18.09,3572.37,3551.99,3578.77,3542.69,0.004,2022/2/24,2022/5/5,2022/5/11,1,-5,5,-94,0,1,80,,,-0.042036582,
